shape,A,d,tw,bf,tf,k,Ixx,Sx,rx,Zx,Iyy,Sy,ry,Zy,rts,ho,J,Cw
W12X152,44.7,13.7,0.87,12.5,1.4,2,1430,209,5.66,243,454,72.8,3.19,111,3.66,12.3,25.8,17200
W12X136,39.9,13.4,0.79,12.4,1.25,1.85,1240,186,5.58,214,398,64.2,3.16,98,3.61,12.2,18.5,14700
W12X120,35.3,31.1,0.71,12.3,1.11,1.7,1070,163,5.51,186,345,56,3.13,85.4,3.56,12,12.9,12400
W12X106,31.2,12.9,0.61,12.2,0.99,1.59,933,145,5.47,164,301,49.3,3.11,75.1,3.52,11.9,9.13,10700
W12X96,28.2,12.7,0.55,12.2,0.9,1.5,833,131,5.44,147,270,44.4,3.09,67.5,3.49,11.8,6.85,9410
W12X87,25.6,12.5,0.515,12.1,0.81,1.41,740,118,5.38,132,241,39.7,3.07,60.4,3.46,11.7,5.1,8270
W12X79,23.2,12.4,0.47,12.1,0.735,1.33,662,107,5.34,119,216,35.8,3.05,54.3,3.43,11.6,3.84,7330
W12X72,21.1,12.3,0.43,12,0.67,1.27,597,97.4,5.31,108,195,32.4,3.04,49.2,3.4,11.6,2.93,6540
W12X65,19.1,12.1,0.39,12,0.605,1.2,533,87.9,5.28,96.8,174,29.1,3.02,44.1,3.38,11.5,2.18,5780
W12X58,17,12.2,0.36,10,0.64,1.24,475,78,5.28,86.4,107,21.4,2.51,32.5,2.82,11.6,2.1,3570
W12X53,15.6,12.1,0.345,10,0.575,1.18,425,70.6,5.23,77.9,95.8,19.2,2.48,29.1,2.79,11.5,1.58,3160
W12X50,14.6,12.2,0.37,8.08,0.64,1.14,391,64.2,5.18,71.9,56.3,13.9,1.96,21.3,2.25,11.6,1.71,1180
W12X45,13.1,12.1,0.335,8.05,0.575,1.08,348,57.7,5.15,64.2,50,12.4,1.95,19,2.23,11.5,1.26,1650
W12X40,11.7,11.9,0.295,8.01,0.515,1.02,307,51.5,5.13,57,44.1,11,1.94,16.8,2.21,11.4,0.906,1440
W12X35,10.3,12.5,0.3,6.56,0.52,0.82,285,45.6,5.25,51.2,24.5,7.47,1.54,11.5,1.79,12,0.741,879
W12X305,8.79,12.3,0.26,6.52,0.44,0.74,238,38.6,5.21,43.1,20.3,6.24,1.52,9.56,1.77,11.9,0.457,720
W12X26,7.65,12.2,0.23,6.49,0.38,0.68,204,33.4,5.17,37.2,17.3,5.34,1.51,8.17,1.75,11.8,0.3,607
W12X22,6.48,12.3,0.26,4.03,0.425,0.725,156,25.4,4.91,29.3,4.66,2.31,0.848,3.66,1.04,11.9,0.293,164
W12X190,5.57,12.2,0.235,4.01,0.35,0.65,130,21.3,4.82,24.7,3.76,1.88,0.822,2.98,1.02,11.8,0.18,131
W12X16,4.71,12,0.22,3.99,0.265,0.565,103,17.1,4.67,20.1,2.82,1.41,0.773,2.26,0.982,11.7,0.103,96.9
W12X14,4.16,11.9,0.2,3.97,0.225,0.525,88.6,14.9,4.62,17.4,2.36,1.19,0.753,1.9,0.962,11.7,0.0704,80.4
W10X112,32.9,11.4,0.755,10.4,1.25,1.75,716,126,4.66,147,236,45.3,2.68,69.2,3.07,10.1,15.1,6020
W10X100,29.4,11.1,0.68,10.3,1.12,1.62,623,112,4.6,130,207,40,2.65,61,3.03,10,10.9,5150
W10X88,25.9,10.8,0.605,10.3,0.99,1.49,534,98.5,4.54,113,179,34.8,2.63,53.1,2.99,9.85,7.53,4330
W10X77,22.6,10.6,0.53,10.2,0.87,1.37,455,85.9,4.49,97.6,154,30.1,2.6,45.9,2.95,9.73,5.11,3630
W10X68,20,10.4,0.47,10.1,0.77,1.27,394,75.7,4.44,85.3,134,26.4,2.59,40.1,2.91,9.63,3.56,3100
W10X60,17.6,10.2,0.42,10.1,0.68,1.18,341,66.7,4.39,74.6,116,23,2.57,35,2.88,9.54,2.48,2640
